Participant Code,Participant Name,Facility Code,Facility Class,System Size (MW),Remaining capacity from embedded generator (MW),Extracted At
"ALCOA","Alcoa of Australia Limited","ALCOA_KW_IL","Non-Dispatchable Load",,66,"2026-08-04 06:30:17"
"ALCOA","Alcoa of Australia Limited","ALCOA_PNJ_IL","Non-Dispatchable Load",,,
"ALCOA","Alcoa of Australia Limited","ALCOA_WGP","Scheduled Facility",16,,
"ALCOA","Alcoa of Australia Limited","ALCOA_WGP_IL","Non-Dispatchable Load",,85,
"ALINTA","Alinta Sales Pty Ltd","ALINTA_PNJ_U1","Scheduled Facility",143,,
"ALINTA","Alinta Sales Pty Ltd","ALINTA_PNJ_U2","Scheduled Facility",143,,
"ALINTA","Alinta Sales Pty Ltd","ALINTA_WGP_ESR1","Scheduled Facility",200,,
"ALINTA","Alinta Sales Pty Ltd","ALINTA_WGP_GT","Scheduled Facility",196,,
"ALINTA","Alinta Sales Pty Ltd","ALINTA_WGP_U2","Scheduled Facility",196,,
"ALINTA","Alinta Sales Pty Ltd","BADGINGARRA_WF1","Semi-Scheduled Facility",130,,
"ALINTA","Alinta Sales Pty Ltd","YANDIN_WF1","Semi-Scheduled Facility",211.7,,
"AMENERGY","Amanda Energy Pty Ltd","BIOGAS01","Non-Scheduled Facility",2,,
"WARADGE","BEI WWF Pty Ltd ATF WWF Trust","WARRADARGE_WF1","Semi-Scheduled Facility",180,,
"BLAIRFOX","Blair Fox Pty Ltd AFT The Blair Fox Trust","BLAIRFOX_BEROSRD_WF1","Non-Scheduled Facility",9.252,,
"BLAIRFOX","Blair Fox Pty Ltd AFT The Blair Fox Trust","BLAIRFOX_KARAKIN_WF1","Non-Scheduled Facility",5,,
"BLAIRFOX","Blair Fox Pty Ltd AFT The Blair Fox Trust","BLAIRFOX_WESTHILLS_WF3","Non-Scheduled Facility",8.85,,
"GRIFFINP","Bluewaters Power 1 Pty Ltd","BW1_BLUEWATERS_G2","Scheduled Facility",217,,
"GRIFFINP","Bluewaters Power 1 Pty Ltd","GRIFFINP_DSP_01","Demand Side Programme",,,
"GRIFFIN2","Bluewaters Power 2 Pty Ltd","BW2_BLUEWATERS_G1","Scheduled Facility",217,,
"COLLGAR","Collgar Wind Farm","INVESTEC_COLLGAR_WF1","Semi-Scheduled Facility",218.5,,
"COL_BESS","Collie Battery Pty Ltd ATF Collie Battery Trust","COLLIE_BESS2","Scheduled Facility",600,,
"COL_BESS","Collie Battery Pty Ltd ATF Collie Battery Trust","COLLIE_ESR1","Scheduled Facility",400,,
"SBSOLAR1","Cunderdin Development Pty Ltd","SBSOLAR1_CUNDERDIN_PV1","Semi-Scheduled Facility",100,,
"DCWL","Denmark Community Windfarm Ltd","DCWL_DENMARK_WF1","Non-Scheduled Facility",1.44,,
"EDWFMAN","EDWF Manager Pty Ltd","EDWFMAN_WF1","Semi-Scheduled Facility",80,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0002","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0003","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0004","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0005","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0008","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0009","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0010","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0011","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0012","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0013","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0014","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0015","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0017","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0018","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0019","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0020","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0021","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0022","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0023","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0024","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0025","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0026","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0027","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0028","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0029","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0030","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0031","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0032","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0033","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0034","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0035","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0036","Demand Side Programme",,,
"ENELX","Enel X Australia Pty Ltd","ENELX_DSP_R0037","Demand Side Programme",,,
