dispatch_interval,code,quantity,submitted_price,tranche,submission_id,capacity_type,fuel_type,lfa_price,notice_time
2026-08-12T08:00:00+08:00,KWINANA_ESR1,-100.0,171.0,1,6c0f8125-0721-42f7-ad4f-bb45546781b9,IN-SERVICE,NOT APPLICABLE,170.93,0.0
2026-08-12T08:00:00+08:00,KWINANA_ESR1,100.0,185.74,2,6c0f8125-0721-42f7-ad4f-bb45546781b9,IN-SERVICE,NOT APPLICABLE,185.67,0.0
2026-08-12T08:00:00+08:00,COLLIE_ESR1,0.0,-1000.0,1,1f72d612-1f21-4202-9aad-bb9a5ad0446f,IN-SERVICE,NON-LIQUID,-999.4,
2026-08-12T08:00:00+08:00,COLLIE_ESR1,-100.0,-42.46,2,1f72d612-1f21-4202-9aad-bb9a5ad0446f,IN-SERVICE,NON-LIQUID,-42.43,
2026-08-12T08:00:00+08:00,COLLIE_ESR1,-100.0,-10.0,3,1f72d612-1f21-4202-9aad-bb9a5ad0446f,IN-SERVICE,NON-LIQUID,-9.99,
2026-08-12T08:00:00+08:00,COLLIE_ESR1,0.0,60.0,4,1f72d612-1f21-4202-9aad-bb9a5ad0446f,IN-SERVICE,NON-LIQUID,59.96,
2026-08-12T08:00:00+08:00,COLLIE_ESR1,16.0,154.49,5,1f72d612-1f21-4202-9aad-bb9a5ad0446f,IN-SERVICE,NON-LIQUID,154.4,
2026-08-12T08:00:00+08:00,COLLIE_ESR1,15.0,166.16,6,1f72d612-1f21-4202-9aad-bb9a5ad0446f,IN-SERVICE,NON-LIQUID,166.06,
2026-08-12T08:00:00+08:00,COLLIE_ESR1,42.0,250.0,7,1f72d612-1f21-4202-9aad-bb9a5ad0446f,IN-SERVICE,NON-LIQUID,249.85,
2026-08-12T08:00:00+08:00,COLLIE_ESR1,84.0,367.0,8,1f72d612-1f21-4202-9aad-bb9a5ad0446f,IN-SERVICE,NON-LIQUID,366.78,
2026-08-12T08:00:00+08:00,COLLIE_ESR1,43.0,622.0,9,1f72d612-1f21-4202-9aad-bb9a5ad0446f,IN-SERVICE,NON-LIQUID,621.63,
2026-08-12T08:00:00+08:00,COLLIE_ESR1,0.0,1200.0,10,1f72d612-1f21-4202-9aad-bb9a5ad0446f,IN-SERVICE,NON-LIQUID,1199.28,
2026-08-12T08:00:00+08:00,KWINANA_ESR2,-224.986,169.48,1,ac4c8995-4f23-47c1-a49f-c09778e3b2f5,IN-SERVICE,NOT APPLICABLE,169.31,0.0
