dispatch_interval,ALINTA_WGP_ESR1,COLLIE_BESS2,COLLIE_ESR1,COLLIE_ESR4,COLLIE_ESR5,KWINANA_ESR1,KWINANA_ESR2
2026-08-01T08:00:00+08:00,0,588.7,565.600,474.2,456.6,59.080,286.6
2026-08-01T08:05:00+08:00,0,589.100,565.4,470.1,453.2,58.96,272.2
2026-08-01T08:10:00+08:00,0,589.100,566,460.6,446.1,56.400,269.9
2026-08-01T08:15:00+08:00,0,589.2,566.3,449.2,445.7,48.98,269.6
2026-08-01T08:20:00+08:00,0,590,566.7,434.4,447.1,41.04,269.1
2026-08-01T08:25:00+08:00,0,588.9,565.3,421.5,442.1,34.57,268.800
2026-08-01T08:30:00+08:00,0,590,566,413.6,429.6,34.34,268.6
2026-08-01T08:35:00+08:00,0,590.9,567.2,411.9,413.6,35.73,268.1
2026-08-01T08:40:00+08:00,23.84,591.2,567.5,411.6,398.800,36.64,267.800
2026-08-01T08:45:00+08:00,23.84,590.3,566.9,411.300,387.4,36.32,267.5
2026-08-01T08:50:00+08:00,24.14,589.7,566.4,411.1,378.2,36.12,267.2
2026-08-01T08:55:00+08:00,24.92,591.2,567.7,410.9,370.6,36.86,267
2026-08-01T09:00:00+08:00,25.780,591.4,567.9,410.7,366.6,37.62,264.800
2026-08-01T09:05:00+08:00,26.59,590.3,567.5,410.4,366.4,37.5,260.800
2026-08-01T09:10:00+08:00,27.4,589.3,565.600,410.2,366.2,36.63,259.1
2026-08-01T09:15:00+08:00,19.030,588.8,564.9,410,366,35.75,258.800
2026-08-01T09:20:00+08:00,19.83,588.7,564.8,409.800,365.800,35.13,258.5
2026-08-01T09:25:00+08:00,18,588.5,564.7,409.6,367.1,34.48,258.300
2026-08-01T09:30:00+08:00,18.790,588.8,564.600,409.4,365.4,33.36,257.9
2026-08-01T09:35:00+08:00,19.540,588.4,564.3,409.2,366.7,31.450,257.300
2026-08-01T09:40:00+08:00,20.31,588.2,562.9,409,365.1,28.66,256.5
2026-08-01T09:45:00+08:00,21.07,589.8,561.600,408.800,364.9,26.81,255.900
2026-08-01T09:50:00+08:00,21.84,590.9,560.9,408.6,366.2,25.05,255.400
2026-08-01T09:55:00+08:00,22.59,589.600,560.8,408.4,364.5,23.55,254.7
2026-08-01T10:00:00+08:00,23.360,588.3,560,408.2,364.300,20.67,253.2
2026-08-01T10:05:00+08:00,20.370,589.4,558.8,408,365.6,18.59,251.1
2026-08-01T10:10:00+08:00,30.34,591,557.9,407.800,363.9,18.07,250.1
2026-08-01T10:15:00+08:00,27.08,591.8,557.600,407.6,363.7,17.96,249.6
2026-08-01T10:20:00+08:00,30.42,592.9,557.4,407.4,365,17.71,248.900
2026-08-01T10:25:00+08:00,27.38,594.7,558.5,407.2,363.300,18.69,248.7
2026-08-01T10:30:00+08:00,28.34,598.3,557.7,407,363.1,18.93,248.2
2026-08-01T10:35:00+08:00,21.34,603.2,557,406.800,362.9,18.57,246.900
2026-08-01T10:40:00+08:00,18.26,606.2,557.600,406.6,362.7,19.23,246.6
2026-08-01T10:45:00+08:00,14.510,611,558.7,406.5,362.5,20.27,246.3
2026-08-01T10:50:00+08:00,14.510,621.9,556.9,406.2,362.300,19.860,244.900
2026-08-01T10:55:00+08:00,14.510,633.600,556.5,406,362.1,18.870,241.8
2026-08-01T11:00:00+08:00,14.510,646.3,556.100,405.800,361.9,17.94,239.3
2026-08-01T11:05:00+08:00,14.510,658.5,556,405.7,361.7,17.71,238.6
