dispatch_interval,energy_price
2026-08-14T08:00:00+08:00,123.52
2026-08-14T08:05:00+08:00,129.96
2026-08-14T08:10:00+08:00,129.96
2026-08-14T08:15:00+08:00,129.96
2026-08-14T08:20:00+08:00,129.96
2026-08-14T08:25:00+08:00,123.16
2026-08-14T08:30:00+08:00,123.16
2026-08-14T08:35:00+08:00,122.58
2026-08-14T08:40:00+08:00,111.28
2026-08-14T08:45:00+08:00,111.28
2026-08-14T08:50:00+08:00,115.65
2026-08-14T08:55:00+08:00,110.88
2026-08-14T09:00:00+08:00,110.88
2026-08-14T09:05:00+08:00,110.88
2026-08-14T09:10:00+08:00,110.88
2026-08-14T09:15:00+08:00,110.88
2026-08-14T09:20:00+08:00,110.88
2026-08-14T09:25:00+08:00,110.88
2026-08-14T09:30:00+08:00,113.65
2026-08-14T09:35:00+08:00,103.65
2026-08-14T09:40:00+08:00,102.56
2026-08-14T09:45:00+08:00,100.18
2026-08-14T09:50:00+08:00,100.18
2026-08-14T09:55:00+08:00,100.18
