dispatch_interval,code,chargeLevel,chargeLevelV2,dischargeLevelV2,highLimit,lowLimit,maximumDownwardsRampRate,maximumUpwardsRampRate,pdiSentOut
2026-08-01T08:00:00+08:00,ALINTA_WGP_ESR1,0,0,0,,,1,1,-0.41
2026-08-01T08:00:00+08:00,COLLIE_BESS2,588.7,-708.9,588.7,300,-300,40,40,0.1
2026-08-01T08:00:00+08:00,COLLIE_ESR1,565.600,-241,565.600,200,-200,40,40,0.32
2026-08-01T08:00:00+08:00,COLLIE_ESR4,474.2,-650.5,474.2,250,-250,40,40,0.4
2026-08-01T08:00:00+08:00,COLLIE_ESR5,456.6,-666,456.6,250,-250,40,40,2.9
2026-08-01T08:00:00+08:00,KWINANA_ESR1,59.080,-130.52,59.080,100,-100,20,20,-1.300
2026-08-01T08:00:00+08:00,KWINANA_ESR2,286.6,-721.7,286.6,225,-225,40,40,218.2
2026-08-01T08:05:00+08:00,ALINTA_WGP_ESR1,0,0,0,,,1,1,-0.42
2026-08-01T08:05:00+08:00,COLLIE_BESS2,589.100,-708.5,589.100,300,-300,40,40,-4.1
2026-08-01T08:05:00+08:00,COLLIE_ESR1,565.4,-241.2,565.4,200,-200,40,40,-2.08
2026-08-01T08:05:00+08:00,COLLIE_ESR4,470.1,-654,470.1,250,-250,40,40,97.1
2026-08-01T08:05:00+08:00,COLLIE_ESR5,453.2,-669.3,453.2,250,-250,40,40,97.4
2026-08-01T08:05:00+08:00,KWINANA_ESR1,58.96,-130.64,58.96,100,-100,20,20,5.9
2026-08-01T08:05:00+08:00,KWINANA_ESR2,272.2,-735.100,272.2,225,-225,40,40,62.2
2026-08-01T08:10:00+08:00,ALINTA_WGP_ESR1,0,0,0,,,1,1,-0.42
2026-08-01T08:10:00+08:00,COLLIE_BESS2,589.100,-708.5,589.100,300,-300,40,40,0
2026-08-01T08:10:00+08:00,COLLIE_ESR1,566,-240.7,566,200,-200,40,40,-3.680
2026-08-01T08:10:00+08:00,COLLIE_ESR4,460.6,-663.8,460.6,250,-250,40,40,120.9
2026-08-01T08:10:00+08:00,COLLIE_ESR5,446.1,-676.4,446.1,250,-250,40,40,27.7
2026-08-01T08:10:00+08:00,KWINANA_ESR1,56.400,-133.39,56.400,100,-100,20,20,74
2026-08-01T08:10:00+08:00,KWINANA_ESR2,269.9,-736.8,269.9,225,-225,40,40,1.7
2026-08-01T08:15:00+08:00,ALINTA_WGP_ESR1,0,0,0,,,1,1,-0.42
2026-08-01T08:15:00+08:00,COLLIE_BESS2,589.2,-708.3,589.2,300,-300,40,40,-1.9
2026-08-01T08:15:00+08:00,COLLIE_ESR1,566.3,-240.400,566.3,200,-200,40,40,-3.04
2026-08-01T08:15:00+08:00,COLLIE_ESR4,449.2,-675.4,449.2,250,-250,40,40,184.7
2026-08-01T08:15:00+08:00,COLLIE_ESR5,445.7,-676.7,445.7,250,-250,40,40,-0.7
2026-08-01T08:15:00+08:00,KWINANA_ESR1,48.98,-141.37,48.98,100,-100,20,20,93.9
2026-08-01T08:15:00+08:00,KWINANA_ESR2,269.6,-737.100,269.6,225,-225,40,40,0.3
2026-08-01T08:20:00+08:00,ALINTA_WGP_ESR1,0,0,0,,,1,1,-0.42
2026-08-01T08:20:00+08:00,COLLIE_BESS2,590,-707.5,590,300,-300,40,40,-2.7
2026-08-01T08:20:00+08:00,COLLIE_ESR1,566.7,-240,566.7,200,-200,40,40,-1.28
2026-08-01T08:20:00+08:00,COLLIE_ESR4,434.4,-690.9,434.4,250,-250,40,40,176.7
2026-08-01T08:20:00+08:00,COLLIE_ESR5,447.1,-675,447.1,250,-250,40,40,-1.4
2026-08-01T08:20:00+08:00,KWINANA_ESR1,41.04,-149.89,41.04,100,-100,20,20,97
2026-08-01T08:20:00+08:00,KWINANA_ESR2,269.1,-737.4,269.1,225,-225,40,40,2.2
2026-08-01T08:25:00+08:00,ALINTA_WGP_ESR1,0,0,0,,,10,10,-0.42
2026-08-01T08:25:00+08:00,COLLIE_BESS2,588.9,-708.7,588.9,300,-300,40,40,-3.8
2026-08-01T08:25:00+08:00,COLLIE_ESR1,565.3,-241.400,565.3,200,-200,40,40,-2.880
2026-08-01T08:25:00+08:00,COLLIE_ESR4,421.5,-703.5,421.5,250,-250,40,40,121.8
2026-08-01T08:25:00+08:00,COLLIE_ESR5,442.1,-680.2,442.1,250,-250,40,40,94.5
2026-08-01T08:25:00+08:00,KWINANA_ESR1,34.57,-156.83,34.57,100,-100,20,20,37.5
2026-08-01T08:25:00+08:00,KWINANA_ESR2,268.800,-737.5,268.800,225,-225,40,40,-3
2026-08-01T08:30:00+08:00,ALINTA_WGP_ESR1,0,0,0,,,10,10,-0.430
2026-08-01T08:30:00+08:00,COLLIE_BESS2,590,-707.5,590,300,-300,40,40,-3.100
2026-08-01T08:30:00+08:00,COLLIE_ESR1,566,-240.7,566,200,-200,40,40,-5.760
2026-08-01T08:30:00+08:00,COLLIE_ESR4,413.6,-710.600,413.6,250,-250,40,40,33.600
2026-08-01T08:30:00+08:00,COLLIE_ESR5,429.6,-693,429.6,250,-250,40,40,211.2
2026-08-01T08:30:00+08:00,KWINANA_ESR1,34.34,-157.09,34.34,100,-100,20,20,-14.400
2026-08-01T08:30:00+08:00,KWINANA_ESR2,268.6,-737.7,268.6,225,-225,40,40,-2.4
2026-08-01T08:35:00+08:00,ALINTA_WGP_ESR1,0,0,0,,,10,10,-0.44
2026-08-01T08:35:00+08:00,COLLIE_BESS2,590.9,-706.7,590.9,300,-300,40,40,-6.3
2026-08-01T08:35:00+08:00,COLLIE_ESR1,567.2,-239.400,567.2,200,-200,40,40,-6.56
2026-08-01T08:35:00+08:00,COLLIE_ESR4,411.9,-712.100,411.9,250,-250,40,40,1.2
2026-08-01T08:35:00+08:00,COLLIE_ESR5,413.6,-709.9,413.6,250,-250,40,40,191.2
2026-08-01T08:35:00+08:00,KWINANA_ESR1,35.73,-155.59,35.73,100,-100,20,20,-14.5
