dataset,folder_url,source_file,member_file,kind,path,types,occurrences,position,read_status,example
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$,object,1,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data,object,1,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData,array,1,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[],object,7,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp,object,7,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.energy-forecastDPV-expected,number,7,,plateau,173.5770000000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.energy-forecastOperationalDemand-expected,number,7,,plateau,2439.1130000000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.energy-forecastOperationalDemand-high,number,7,,plateau,2467.5270000000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.energy-forecastOperationalDemand-low,number,7,,plateau,2410.6980000000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.ess-contingencyLowerConstantTerm-expected,number,7,,plateau,131.5645000000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.ess-regulationLower-expected,number,7,,plateau,110.0000000000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.ess-regulationRaise-expected,number,7,,plateau,110.0000000000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.nsgForecast-albanyWindFarm-bomAccessA-expected,number,7,,plateau,22.1326800000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.nsgForecast-albanyWindFarm-bomAccessA-high,number,7,,plateau,26.7548400000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.nsgForecast-albanyWindFarm-bomAccessA-low,number,7,,plateau,17.0805700000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.regionalForecast-easternGoldfields-expected,number,7,,plateau,174.6150000000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.regionalForecast-northCountryRegionBaseLoad-expected,number,7,,plateau,60.4916500000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.regionalForecast-northCountryRegionLoad-expected,number,7,,plateau,77.7694900000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.regionalForecast-northOfThreeSprings-expected,number,7,,plateau,45.4688900000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.regionalForecast-southWestGreatSouthernRegionBaseLoad-expected,number,7,,plateau,263.1350000000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.forecast.regionalForecast-southWestGreatSouthernRegionLoad-expected,number,7,,plateau,297.7148000000
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.solver.intervalLength,number,7,,plateau,5.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintLookUp.solver.minutesSincePrimary,number,7,,plateau,0.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintViolationParameters,array,7,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintViolationParameters[],object,308,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintViolationParameters[].price,number,308,,plateau,8.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraintViolationParameters[].variable,string,308,,plateau,ContingencyLowerDeficit
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints,object,7,,plateau,
